Group	Line	Color
Elite	HiBAP_10	"#99c794e6"
Exotic	HiBAP_100	"#6699cce6"
Exotic	HiBAP_101	"#6699cce6"
Elite	HiBAP_102	"#99c794e6"
Exotic	HiBAP_103	"#6699cce6"
Elite	HiBAP_104	"#99c794e6"
Exotic	HiBAP_105	"#6699cce6"
Elite	HiBAP_106	"#99c794e6"
Elite	HiBAP_107	"#99c794e6"
Elite	HiBAP_108	"#99c794e6"
Elite	HiBAP_109	"#99c794e6"
Elite	HiBAP_11	"#99c794e6"
Elite	HiBAP_110	"#99c794e6"
Elite	HiBAP_111	"#99c794e6"
Exotic	HiBAP_112	"#6699cce6"
Exotic	HiBAP_113	"#6699cce6"
Elite	HiBAP_114	"#99c794e6"
Elite	HiBAP_115	"#99c794e6"
Elite	HiBAP_116	"#99c794e6"
Exotic	HiBAP_117	"#6699cce6"
Exotic	HiBAP_118	"#6699cce6"
Exotic	HiBAP_119	"#6699cce6"
Elite	HiBAP_12	"#99c794e6"
Exotic	HiBAP_120	"#6699cce6"
Exotic	HiBAP_121	"#6699cce6"
Elite	HiBAP_122	"#99c794e6"
Elite	HiBAP_123	"#99c794e6"
Exotic	HiBAP_124	"#6699cce6"
Elite	HiBAP_125	"#99c794e6"
Exotic	HiBAP_126	"#6699cce6"
Elite	HiBAP_127	"#99c794e6"
Elite	HiBAP_128	"#99c794e6"
Elite	HiBAP_129	"#99c794e6"
Elite	HiBAP_13	"#99c794e6"
Elite	HiBAP_130	"#99c794e6"
Elite	HiBAP_131	"#99c794e6"
Elite	HiBAP_132	"#99c794e6"
Elite	HiBAP_133	"#99c794e6"
Elite	HiBAP_134	"#99c794e6"
Elite	HiBAP_135	"#99c794e6"
Exotic	HiBAP_136	"#6699cce6"
Elite	HiBAP_137	"#99c794e6"
Elite	HiBAP_138	"#99c794e6"
Elite	HiBAP_139	"#99c794e6"
Elite	HiBAP_14	"#99c794e6"
Elite	HiBAP_140	"#99c794e6"
Elite	HiBAP_141	"#99c794e6"
Elite	HiBAP_142	"#99c794e6"
Elite	HiBAP_143	"#99c794e6"
Exotic	HiBAP_144	"#6699cce6"
Elite	HiBAP_145	"#99c794e6"
Elite	HiBAP_146	"#99c794e6"
Elite	HiBAP_147	"#99c794e6"
Exotic	HiBAP_148	"#6699cce6"
Elite	HiBAP_149	"#99c794e6"
Elite	HiBAP_15	"#99c794e6"
Exotic	HiBAP_150	"#6699cce6"
Elite	HiBAP_16	"#99c794e6"
Elite	HiBAP_17	"#99c794e6"
Elite	HiBAP_18	"#99c794e6"
Elite	HiBAP_19	"#99c794e6"
Elite	HiBAP_2	"#99c794e6"
Elite	HiBAP_20	"#99c794e6"
Exotic	HiBAP_21	"#6699cce6"
Exotic	HiBAP_22	"#6699cce6"
Elite	HiBAP_23	"#99c794e6"
Elite	HiBAP_24	"#99c794e6"
Elite	HiBAP_25	"#99c794e6"
Elite	HiBAP_26	"#99c794e6"
Elite	HiBAP_27	"#99c794e6"
Exotic	HiBAP_28	"#6699cce6"
Exotic	HiBAP_29	"#6699cce6"
Elite	HiBAP_3	"#99c794e6"
Exotic	HiBAP_30	"#6699cce6"
Exotic	HiBAP_31	"#6699cce6"
Elite	HiBAP_32	"#99c794e6"
Exotic	HiBAP_33	"#6699cce6"
Exotic	HiBAP_34	"#6699cce6"
Exotic	HiBAP_35	"#6699cce6"
Exotic	HiBAP_36	"#6699cce6"
Exotic	HiBAP_37	"#6699cce6"
Elite	HiBAP_38	"#99c794e6"
Elite	HiBAP_39	"#99c794e6"
Elite	HiBAP_4	"#99c794e6"
Elite	HiBAP_40	"#99c794e6"
Elite	HiBAP_41	"#99c794e6"
Elite	HiBAP_42	"#99c794e6"
Elite	HiBAP_43	"#99c794e6"
Exotic	HiBAP_44	"#6699cce6"
Elite	HiBAP_45	"#99c794e6"
Exotic	HiBAP_46	"#6699cce6"
Elite	HiBAP_47	"#99c794e6"
Exotic	HiBAP_48	"#6699cce6"
Exotic	HiBAP_49	"#6699cce6"
Exotic	HiBAP_5	"#6699cce6"
Exotic	HiBAP_50	"#6699cce6"
Exotic	HiBAP_51	"#6699cce6"
Exotic	HiBAP_52	"#6699cce6"
Elite	HiBAP_53	"#99c794e6"
Elite	HiBAP_54	"#99c794e6"
Elite	HiBAP_55	"#99c794e6"
