Group	Line
Elite	HiBAP_10
Exotic	HiBAP_100
Exotic	HiBAP_101
Elite	HiBAP_102
Exotic	HiBAP_103
Elite	HiBAP_104
Exotic	HiBAP_105
Elite	HiBAP_106
Elite	HiBAP_107
Elite	HiBAP_108
Elite	HiBAP_109
Elite	HiBAP_11
Elite	HiBAP_110
Elite	HiBAP_111
Exotic	HiBAP_112
Exotic	HiBAP_113
Elite	HiBAP_114
Elite	HiBAP_115
Elite	HiBAP_116
Exotic	HiBAP_117
Exotic	HiBAP_118
Exotic	HiBAP_119
Elite	HiBAP_12
Exotic	HiBAP_120
Exotic	HiBAP_121
Elite	HiBAP_122
Elite	HiBAP_123
Exotic	HiBAP_124
Elite	HiBAP_125
Exotic	HiBAP_126
Elite	HiBAP_127
Elite	HiBAP_128
Elite	HiBAP_129
Elite	HiBAP_13
Elite	HiBAP_130
Elite	HiBAP_131
Elite	HiBAP_132
Elite	HiBAP_133
Elite	HiBAP_134
Elite	HiBAP_135
Exotic	HiBAP_136
Elite	HiBAP_137
Elite	HiBAP_138
Elite	HiBAP_139
Elite	HiBAP_14
Elite	HiBAP_140
Elite	HiBAP_141
Elite	HiBAP_142
Elite	HiBAP_143
Exotic	HiBAP_144
Elite	HiBAP_145
Elite	HiBAP_146
Elite	HiBAP_147
Exotic	HiBAP_148
Elite	HiBAP_149
Elite	HiBAP_15
Exotic	HiBAP_150
Elite	HiBAP_16
Elite	HiBAP_17
Elite	HiBAP_18
Elite	HiBAP_19
Elite	HiBAP_20
Exotic	HiBAP_21
Exotic	HiBAP_22
Elite	HiBAP_23
Elite	HiBAP_24
Elite	HiBAP_25
Elite	HiBAP_26
Elite	HiBAP_27
Exotic	HiBAP_28
Exotic	HiBAP_29
Elite	HiBAP_3
Exotic	HiBAP_31
Elite	HiBAP_32
Exotic	HiBAP_33
Exotic	HiBAP_34
Exotic	HiBAP_35
Exotic	HiBAP_36
Exotic	HiBAP_37
Elite	HiBAP_38
Elite	HiBAP_39
Elite	HiBAP_4
Elite	HiBAP_40
Elite	HiBAP_41
Elite	HiBAP_42
Elite	HiBAP_43
Exotic	HiBAP_44
Elite	HiBAP_45
Exotic	HiBAP_46
Elite	HiBAP_47
Exotic	HiBAP_48
Exotic	HiBAP_49
Exotic	HiBAP_5
Exotic	HiBAP_50
Exotic	HiBAP_51
Exotic	HiBAP_52
Elite	HiBAP_53
Elite	HiBAP_54
Elite	HiBAP_55
Elite	HiBAP_56
Exotic	HiBAP_57
Elite	HiBAP_58
Exotic	HiBAP_59
Elite	HiBAP_6
Exotic	HiBAP_60
Exotic	HiBAP_61
Exotic	HiBAP_62
Elite	HiBAP_63
Elite	HiBAP_64
Exotic	HiBAP_65
Elite	HiBAP_66
Elite	HiBAP_67
Exotic	HiBAP_68
Elite	HiBAP_69
Elite	HiBAP_7
Exotic	HiBAP_70
Elite	HiBAP_71
Elite	HiBAP_72
Elite	HiBAP_73
Exotic	HiBAP_74
Exotic	HiBAP_75
Elite	HiBAP_76
Elite	HiBAP_77
Elite	HiBAP_78
Exotic	HiBAP_79
Elite	HiBAP_8
Elite	HiBAP_80
Elite	HiBAP_81
Elite	HiBAP_82
Elite	HiBAP_83
Exotic	HiBAP_84
Elite	HiBAP_85
Elite	HiBAP_86
Elite	HiBAP_87
Elite	HiBAP_88
Elite	HiBAP_89
Elite	HiBAP_9
Exotic	HiBAP_90
Exotic	HiBAP_91
Elite	HiBAP_92
Exotic	HiBAP_93
Elite	HiBAP_94
Elite	HiBAP_95
Elite	HiBAP_96
Elite	HiBAP_97
Exotic	HiBAP_98
Elite	HiBAP_99
