ID	Genotype	yield	TGW	HI	BM	GM2	SM2	GSP	GWSP	Height	PGF	GFR	DTInB	DTA	DTM	TTInB	TTAnth	TTPM	TTA7H	RSGP	SPKLSP	InfSPKLSP	Spike	Awns	Ped
1	HiBAP_10	597.4843481	44.65600008	0.499366786	1271.0725	13381.64965	261.709255	55.7213431	2.457078189	98.68114961	34.98226661	15.28449677	56.50000001	72.75	111.987335	947.8987501	1242.83625	1995.632198	1395.13	14.57214839	20.47924531	1.120706682	12.58	6.694254561	39.49645251
2	HiBAP_100	588.7829568	46.59979841	0.46712659	1341.010665	12634.52425	260.8220697	52.03220494	2.40937987	101.5865828	31.37334876	16.2260385	62.87500001	79.5	115.8471067	1058.27375	1374.8175	2075.687683	1525.9925	14.4058097	20.01785205	1.051951329	13.22075	6.765031724	41.69824895
3	HiBAP_101	606.8278149	50.68025674	0.479533196	1347.645881	11939.45628	264.5567733	48.48210855	2.474567651	99.59853444	31.77112924	16.99996619	61.37500001	76.75	112.6878086	1031.2175	1325.09875	2009.266419	1486.3425	13.77672746	19.01860794	1.02736219	13.121	5.991372883	38.39797597
4	HiBAP_102	564.344767	46.10650424	0.45812299	1321.494147	12181.2327	340.8166148	38.50403621	1.813972303	97.2376539	31.3210137	15.59338269	64.25000001	79.25	115.5265086	1082.37375	1372.24875	2071.512679	1501.305	13.02681711	18.28980381	0.518099949	10.92075	7.417816295	35.92554664
5	HiBAP_103	554.1669555	50.26946861	0.486394731	1204.290537	10979.0028	273.9641838	42.233162	2.175532019	99.17863469	34.46826429	14.54973509	56.50000001	72.625	110.7669811	949.3737501	1241.02375	1971.786628	1375.5175	14.61874936	18.12696259	1.009150484	11.921	6.022229898	37.2526786
6	HiBAP_104	597.9127669	44.30396117	0.498827763	1227.596173	13441.67554	323.0153535	44.56001633	1.935468887	97.82885605	34.23000656	15.80228623	55.37500001	72.875	110.8113291	931.5362501	1247.07375	1969.488644	1402.155	15.8898567	18.34516509	1.037749739	10.8665	6.764735965	36.50256486
7	HiBAP_105	614.1875495	48.12032556	0.447193022	1526.735169	12718.78219	293.2947419	48.37797586	2.365764162	104.0743485	30.95811396	17.16934357	63.25000001	80.125	116.1619096	1065.705	1386.43625	2082.499742	1516.1425	14.57313926	20.91009028	1.090622431	13.4125	6.694360754	40.02786405
8	HiBAP_106	588.7943502	37.59436129	0.468132334	1409.968528	15572.04212	361.9300437	46.50099824	1.834831914	99.57135086	31.27342034	16.53336916	62.00000001	78.875	115.1102122	1044.17375	1364.505	2059.201331	1506.2925	14.85326047	18.480642	1.151551751	11.3585	5.910200226	37.6740915
9	HiBAP_107	590.9845992	47.31905547	0.408774884	1570.848345	12439.32609	305.4568974	43.58927442	2.087913138	113.800493	31.29924307	16.36070462	61.75000001	79.375	115.6213228	1038.34875	1371.81125	2071.390835	1521.13	15.28256806	21.04726308	1.307813695	13.77075	6.406445522	42.70875531
10	HiBAP_108	641.89376	46.63267729	0.4698152	1445.601132	13760.53145	293.3563317	49.14891237	2.304708957	98.10413212	33.17375724	16.26134062	62.50000001	79.625	119.1635754	1049.14875	1375.19875	2143.208994	1516.2675	14.41425193	19.96027485	1.108634289	12.60025	6.585787759	37.67578779
