Genotype	PC1	PC2	PC3	Group
HiBAP_10	-0.021850207	-0.03471394	-0.004205512	Elite
HiBAP_100	-0.022800316	-0.056880997	-0.011385501	Exotic
HiBAP_101	-0.023726045	-0.050569326	-0.014122376	Exotic
HiBAP_102	-0.02278445	0.012328993	0.015011291	Elite
HiBAP_103	-0.021723632	-0.043185989	-0.011165617	Exotic
HiBAP_104	-0.018461438	-0.023854194	-0.003068739	Elite
HiBAP_105	-0.024049265	-0.040248383	-0.011988576	Exotic
HiBAP_106	-0.021523826	-0.051650766	-0.007057318	Elite
HiBAP_107	0.380695899	-0.127031235	-0.214216011	Elite
HiBAP_108	-0.021726225	-0.028396654	0.004808754	Elite
HiBAP_109	-0.023089007	-0.015971797	0.0150327	Elite
HiBAP_11	-0.022016652	-0.033715679	-0.006373418	Elite
HiBAP_110	-0.023030251	-0.054352738	-0.009139674	Elite
HiBAP_111	-0.022015093	-0.045661348	-0.005605735	Elite
HiBAP_112	-0.021115682	-0.042784833	0.007704032	Exotic
HiBAP_113	-0.022753727	-0.032858516	-0.013677707	Exotic
HiBAP_114	-0.023495833	0.025589365	-0.008373314	Elite
HiBAP_115	-0.022379499	-0.034091681	-0.002100837	Elite
HiBAP_116	-0.02265087	-0.053988826	-0.013580053	Elite
HiBAP_117	-0.027598985	0.180511245	-0.164838752	Exotic
HiBAP_118	-0.02283386	0.060220223	-0.015927572	Exotic
HiBAP_119	-0.023789482	-0.044667789	-0.009562188	Exotic
HiBAP_12	-0.027150207	0.598884301	-0.391291047	Elite
HiBAP_120	-0.023400443	-0.048867058	-0.013583885	Exotic
HiBAP_121	-0.024280381	0.035877166	-0.02364446	Exotic
HiBAP_122	-0.021794419	0.06606929	-0.016062589	Elite
HiBAP_123	-0.024042532	-0.02953842	-0.011074303	Elite
HiBAP_124	-0.021596654	-0.017484688	0.037405811	Exotic
HiBAP_125	-0.022233176	-0.04564568	0.01951622	Elite
HiBAP_126	-0.021827387	-0.039628268	-0.003239927	Exotic
HiBAP_127	-0.023248825	-0.01063379	0.0117873	Elite
HiBAP_128	-0.022129421	-0.051074536	-0.008983736	Elite
HiBAP_129	-0.022271784	-0.046859485	-0.00569827	Elite
HiBAP_13	-0.022291078	-0.029928326	-0.000857325	Elite
HiBAP_130	-0.023763989	0.000649854	-0.009358122	Elite
HiBAP_131	-0.020461038	-0.032054514	0.017763482	Elite
HiBAP_132	-0.020851999	-0.026726156	0.006910195	Elite
HiBAP_133	-0.024427337	-0.027794213	-0.012759701	Elite
HiBAP_134	-0.021022309	0.026393002	0.024365214	Elite
HiBAP_135	-0.023209224	-0.020704575	-0.016876721	Elite
HiBAP_136	-0.022218709	-0.050656532	-0.006773367	Exotic
HiBAP_137	-0.023217219	-0.048341033	-0.007180256	Elite
HiBAP_138	-0.022788658	-0.018765546	-0.010413753	Elite
HiBAP_139	-0.018230949	0.008237288	0.078204777	Elite
HiBAP_14	0.20974302	0.082227074	0.199041228	Elite
HiBAP_140	-0.022106155	-0.033957661	0.022831977	Elite
HiBAP_141	-0.018248479	-0.000634577	0.048714802	Elite
HiBAP_142	-0.022398284	-0.021395506	0.00297622	Elite
HiBAP_143	-0.022919269	-0.02303767	-0.018431128	Elite
HiBAP_144	-0.02271551	-0.056396057	-0.009434337	Exotic
HiBAP_145	-0.016985655	-0.043887199	0.008275684	Elite
HiBAP_146	-0.023172308	0.044389095	0.00543143	Elite
HiBAP_147	-0.02134168	-0.004080318	0.009028082	Elite
HiBAP_148	-0.025331104	0.105766661	-0.144962635	Exotic
HiBAP_149	-0.02191738	-0.039688941	0.000693779	Elite
HiBAP_15	-0.020425096	-0.035243176	0.015566885	Elite
HiBAP_150	-0.022412277	-0.042769287	-0.008090025	Exotic
HiBAP_16	0.310535452	-0.078313257	-0.065257216	Elite
HiBAP_17	-0.023144313	-0.044141519	-0.005605658	Elite
HiBAP_18	-0.018500923	-0.045820273	0.008622317	Elite
HiBAP_19	0.398255211	-0.10437658	-0.184316877	Elite
HiBAP_2	0.11094874	0.163804922	0.352166772	Elite
HiBAP_20	0.352473784	-0.051885153	-0.129215648	Elite
HiBAP_21	-0.027057862	0.181303142	-0.144694849	Exotic
HiBAP_22	-0.023271708	-0.047656251	-0.011932523	Exotic
HiBAP_23	-0.022005389	-0.047801695	-0.010382886	Elite
HiBAP_24	-0.024068557	0.015009193	-0.013958768	Elite
HiBAP_25	-0.022841822	-0.04389606	-0.002656809	Elite
HiBAP_26	-0.020178125	-0.033337023	0.011894957	Elite
HiBAP_27	-0.024225333	-0.005191262	-0.03177106	Elite
HiBAP_28	-0.021515806	0.000493596	-0.002596002	Exotic
HiBAP_29	-0.024279342	0.007057316	-0.014068051	Exotic
HiBAP_3	-0.021216956	-0.038128161	-0.001081212	Elite
HiBAP_30	-0.023175966	0.014911545	0.001792097	Exotic
HiBAP_31	-0.023772638	0.014158255	-0.031260096	Exotic
HiBAP_32	-0.024238477	-0.03684381	-0.024030864	Elite
HiBAP_33	-0.024142182	-0.00289185	0.01481448	Exotic
HiBAP_34	-0.022061754	0.068263172	0.00180773	Exotic
HiBAP_35	-0.022614958	-0.031137148	-0.012381993	Exotic
HiBAP_36	-0.027633879	0.151790927	-0.156016266	Exotic
HiBAP_37	-0.025108706	-0.046886712	-0.025347055	Exotic
HiBAP_38	-0.020942834	0.227150082	-0.100418546	Elite
HiBAP_39	-0.020344468	0.0089305	0.062925258	Elite
HiBAP_4	-0.019054732	0.00102321	0.029512858	Elite
HiBAP_40	-0.021697576	-0.018414899	0.002582543	Elite
HiBAP_41	-0.021662195	-0.047119321	0.013164047	Elite
HiBAP_42	-0.020668671	-0.003699461	0.04331894	Elite
HiBAP_43	-0.023468578	-0.035630288	-0.001990009	Elite
HiBAP_44	-0.022444384	-0.048999562	-0.005847198	Exotic
HiBAP_45	-0.021533554	-0.040835998	-0.012171886	Elite
HiBAP_46	-0.02223221	-0.012987246	0.003947431	Exotic
HiBAP_47	-0.023260468	-0.022446195	0.005307219	Elite
HiBAP_48	-0.022855003	-0.043976507	-0.011772607	Exotic
HiBAP_49	-0.02262439	0.063615872	0.062169971	Exotic
HiBAP_5	0.105506797	0.184952136	0.378060655	Exotic
HiBAP_50	-0.016287421	0.075443329	0.183551228	Exotic
HiBAP_51	-0.023965728	-0.031497339	-0.022395855	Exotic
HiBAP_52	-0.024634321	-0.004481886	-0.035147564	Exotic
HiBAP_53	-0.022191349	-0.033672647	0.013737127	Elite
HiBAP_54	-0.020870302	-0.044804082	0.002899523	Elite
HiBAP_55	-0.019283159	-0.040270282	0.038949247	Elite
HiBAP_56	0.231908693	0.075337996	0.18606756	Elite
HiBAP_57	-0.024157583	0.059742547	-0.001071291	Exotic
HiBAP_58	0.243149089	0.362538983	0.253099239	Elite
HiBAP_59	-0.022254991	0.027558063	0.015369194	Exotic
HiBAP_6	0.309456539	-0.048018717	-0.065890877	Elite
HiBAP_60	-0.02174566	0.026169806	-0.003172974	Exotic
HiBAP_61	-0.023694762	-0.015744383	-0.015760515	Exotic
HiBAP_62	-0.021597557	0.021665522	0.003868328	Exotic
HiBAP_63	-0.022938205	-0.011875995	0.003752221	Elite
HiBAP_64	-0.024465282	-0.029090649	-0.02979404	Elite
HiBAP_65	-0.02541415	-0.011098204	-0.026672462	Exotic
HiBAP_66	-0.023160466	0.010133974	-0.019910509	Elite
